target_pair,attribute_pair,PES,p_value
"American+United States, African+Nigeria+Kenya","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.8626173035414351,0.0
"American+United States, African+Nigeria+Kenya","Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",1.1857523090137645,0.0
"American+United States, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment",-0.956187197167154,1.0
"American+United States, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",-1.0165729727063073,1.0
"American+United States, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.9784461756476959,1.0
"American+United States, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",-0.7848530426425058,1.0
"American+United States, Indian+India","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",-0.9913096929592765,1.0
"American+United States, Indian+India","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.6489421649068065,0.9999999999922558
"American+United States, Indian+India","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.9372563270788554,0.0
"American+United States, Indian+India","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",0.4799431478002569,5.2702492143140345e-08
"American+United States, Indian+India","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",1.0411941315605087,0.0
"American+United States, Indian+India","Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.979010501869288,0.0
"East Asian+China+South Korea+Japan, European+France+Germany+Italy+Switzerland","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment",-0.8947178783980139,1.0
"East Asian+China+South Korea+Japan, European+France+Germany+Italy+Switzerland","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",-0.9050015249070319,1.0
"East Asian+China+South Korea+Japan, European+France+Germany+Italy+Switzerland","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.9567861382334171,1.0
"East Asian+China+South Korea+Japan, European+France+Germany+Italy+Switzerland","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",-0.8771885401193154,1.0
"East Asian+China+South Korea+Japan, European+France+Germany+Italy+Switzerland","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",-0.647535133933663,1.0
"East Asian+China+South Korea+Japan, European+France+Germany+Italy+Switzerland","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.611253986016356,0.9999999999999865
"East Asian+China+South Korea+Japan, European+France+Germany+Italy+Switzerland","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.7833501540982593,0.0
"East Asian+China+South Korea+Japan, European+France+Germany+Italy+Switzerland","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",0.21613898514879173,2.7165274288968896e-05
"East Asian+China+South Korea+Japan, European+France+Germany+Italy+Switzerland","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.8344040871718915,0.0
"East Asian+China+South Korea+Japan, European+France+Germany+Italy+Switzerland","Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.8546176585113887,0.0
"East Asian+China+South Korea+Japan, African+Nigeria+Kenya","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment",-0.8641080485864723,1.0
